id;user_id;challenge_date;challenge_type;target_value;current_value;completed;reward_xp;reward_manna;claimed;created_at
26748b32-8160-4940-a738-1ce80f497b7e;844c6dd3-7e51-46cd-a965-a149e05a0f36;2026-01-15;perfect;1;0;false;75;8;false;2026-01-15 11:25:04.181247+00
6d122fff-6aee-4bfe-ac28-e8fa2228c971;844c6dd3-7e51-46cd-a965-a149e05a0f36;2026-01-15;xp;100;103;true;30;3;false;2026-01-15 11:25:04.181247+00
d4c682c3-bccd-41a0-86e8-9ab612a0c0c8;844c6dd3-7e51-46cd-a965-a149e05a0f36;2026-01-15;lessons;3;1;false;50;5;false;2026-01-15 11:25:04.181247+00
67803006-cf99-42e2-af08-cdebd6333da2;3564f034-e3d2-46f2-9166-33e28f8fc308;2026-01-16;xp;100;216;true;30;3;false;2026-01-16 06:59:42.684422+00
bbb962a8-8c7d-4794-8818-49cff3720722;3564f034-e3d2-46f2-9166-33e28f8fc308;2026-01-16;lessons;3;3;true;50;5;false;2026-01-16 06:59:42.684422+00
8fa314db-579b-4b5f-b7b0-9144332be012;3564f034-e3d2-46f2-9166-33e28f8fc308;2026-01-16;perfect;1;2;true;75;8;false;2026-01-16 06:59:42.684422+00
66905f74-3f51-4000-accb-99dc42bbf091;a3de56ed-45b3-4f19-9d7e-511f9e431695;2026-01-15;perfect;1;26;true;75;8;false;2026-01-15 20:49:26.285764+00
a8b9ba4e-f698-4744-a09a-0fd4635dc6d9;a3de56ed-45b3-4f19-9d7e-511f9e431695;2026-01-15;lessons;3;30;true;50;5;false;2026-01-15 20:49:26.285764+00
5fe7255f-4dc4-447a-9c4e-20a1167ab04d;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-15;xp;100;1170;true;30;3;true;2026-01-15 06:58:56.107896+00
75783dc4-ad37-4352-98b8-5cb9191af19f;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-15;lessons;3;28;true;50;5;true;2026-01-15 06:58:56.107896+00
35a561d1-b020-4b5d-8ef8-73a78830280b;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-15;perfect;1;20;true;75;8;true;2026-01-15 06:58:56.107896+00
c14b69bf-8eb1-4ee2-ad04-1cc9ac6fa0fc;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-14;lessons;3;5;true;50;5;true;2026-01-14 13:04:32.164712+00
ef6c6ec6-b3bc-424c-bb07-ee69efbffec5;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-14;perfect;1;3;true;75;8;true;2026-01-14 13:04:32.164712+00
639db12b-7811-4384-b9d7-642fc71c9150;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-14;xp;100;416;true;30;3;true;2026-01-14 13:04:32.164712+00
f8bdc9df-2dac-443b-8a40-b0caad36e755;a3de56ed-45b3-4f19-9d7e-511f9e431695;2026-01-15;xp;100;1219;true;30;3;false;2026-01-15 20:49:26.285764+00
9abd31d7-a97e-42d6-80a2-196d8dc9d8d4;fb243aa1-fb16-4a04-b4cf-2c6463840946;2026-01-15;xp;100;246;true;30;3;false;2026-01-15 18:58:40.782326+00
f03364b2-7d30-4bfa-bfb7-bf00664e910c;fb243aa1-fb16-4a04-b4cf-2c6463840946;2026-01-15;lessons;3;1;false;50;5;false;2026-01-15 18:58:40.782326+00
42f4bf48-c268-40dd-87e2-7abadf77fe03;fb243aa1-fb16-4a04-b4cf-2c6463840946;2026-01-15;perfect;1;1;true;75;8;false;2026-01-15 18:58:40.782326+00
73aae6f2-0a89-4ea3-8d60-69ffbeb7a36f;0cf26847-1b58-4d45-8423-3bac817bb89e;2026-01-15;lessons;3;1;false;50;5;false;2026-01-15 17:44:54.403457+00
81e8c753-0c33-4942-a430-19c4a693e54f;0cf26847-1b58-4d45-8423-3bac817bb89e;2026-01-15;perfect;1;1;true;75;8;true;2026-01-15 17:44:54.403457+00
f6f115cd-d412-4dbe-bc4d-8f1d03cfa335;139306fe-4ee5-411f-966d-a86cf02a16da;2026-01-15;xp;100;1207;true;30;3;false;2026-01-15 21:15:07.567265+00
a5d18600-f6e0-4b30-944a-460f4df3d79d;139306fe-4ee5-411f-966d-a86cf02a16da;2026-01-15;perfect;1;23;true;75;8;false;2026-01-15 21:15:07.567265+00
ce354573-c72b-4e0e-8bd2-24e0d10ee07f;139306fe-4ee5-411f-966d-a86cf02a16da;2026-01-15;lessons;3;27;true;50;5;false;2026-01-15 21:15:07.567265+00
ccd8fb34-aaa6-448b-8241-f70c992587ba;0cf26847-1b58-4d45-8423-3bac817bb89e;2026-01-15;xp;100;128;true;30;3;true;2026-01-15 17:44:54.403457+00
2201916a-1ede-487a-a4c7-d4a299043673;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-16;perfect;1;6;true;75;8;false;2026-01-16 06:07:59.294015+00
fe78036c-78ec-4d48-a48d-0baf1f6d1018;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-16;xp;100;175;true;30;3;false;2026-01-16 06:07:59.294015+00
9186a60f-9538-4071-9767-24f2a3f7185f;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;2026-01-16;lessons;3;6;true;50;5;true;2026-01-16 06:07:59.294015+00
