id;user_id;book_id;chapter_id;lesson_id;completed;score;xp_earned;completed_at;created_at
d7460adc-d02d-418c-9f79-b3c4b52e5a34;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;matthew;1;matthew-1;true;1;10;2026-01-14 11:22:57.908+00;2026-01-14 11:22:58.011457+00
25331fe6-cde6-45e9-9dd9-5d30dd8601c2;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;matthew;2;matthew-2;true;2;20;2026-01-14 11:23:11.381+00;2026-01-14 11:23:11.452761+00
4129198e-1a13-4400-b882-dc176ea07ece;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;matthew;3;matthew-3;true;1;10;2026-01-14 11:23:17.45+00;2026-01-14 11:23:17.523354+00
78418af1-d7b0-4342-af32-6dfffa024e29;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;matthew;4;matthew-4;true;1;10;2026-01-14 11:23:23.236+00;2026-01-14 11:23:23.297294+00
5df1e424-6bf8-48ed-8c93-d45f790e051b;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;matthew;5;matthew-5;true;2;25;2026-01-14 11:23:41.193+00;2026-01-14 11:23:41.260448+00
b33d19ae-bfee-4857-b3b2-17d3a16d9d2d;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;matthew;6;matthew-6;true;1;15;2026-01-14 12:37:04.197+00;2026-01-14 11:23:49.62748+00
a704b62d-12e6-40f4-b299-d6678d12c7cd;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;matthew;7;matthew-7;true;2;20;2026-01-14 12:48:47.397+00;2026-01-14 12:48:48.442812+00
fe3f6f62-9986-4942-96c4-7c2b962a5431;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;1;genesis-1-intro;true;10;178;2026-01-14 18:38:36.914+00;2026-01-14 18:38:37.01704+00
132f0902-f677-4f98-9ffb-98ec773f57ad;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;2;genesis-2;true;5;65;2026-01-14 18:40:47.072+00;2026-01-14 18:40:47.142107+00
6d4a1e1c-e250-4a5e-b400-a7314b18ce53;96ff41d6-7eeb-4889-99f3-58e526f9e5a1;genesis;3;genesis-3;true;3;35;2026-01-14 18:41:23.806+00;2026-01-14 18:41:23.867464+00
